advisory_id,condition,faithfulness,answer_relevancy,context_recall,context_precision,hallucination_rate,trust_score,cve_f1,ttp_f1,latency_ms
REAL-001,A,0.0,0.4776,0.0,0.0,0.1727,59.82,1.0,0.3636,55012.5129
REAL-002,A,0.0,0.5479,0.0,0.0,0.1431,64.7082,1.0,0.5,16461.5192
REAL-003,A,0.0,0.2585,0.0,0.0,0.4475,53.0764,1.0,0.2222,14609.467
REAL-004,A,0.0,0.4397,0.0,0.0,0.1934,60.6969,1.0,0.0,13141.5269
REAL-005,A,0.0,0.4467,0.0,0.0,0.1822,61.0332,1.0,0.5714,16447.412
REAL-006,A,0.0,0.2674,0.0,0.0,0.2435,59.1945,1.0,0.0,12850.2061
REAL-007,A,0.0,0.3935,0.0,0.0,0.4028,57.3991,1.0,0.2222,13477.8922
REAL-008,A,0.0,0.3246,0.0,0.0,0.2385,61.5481,1.0,0.5,13559.7181
REAL-009,A,0.0,0.4188,0.0,0.0,0.1963,60.9556,1.0,0.5,17373.6408
REAL-010,A,0.0,0.3892,0.0,0.0,0.2086,60.653,1.0,0.2857,13441.6022
REAL-001,B,1.0,0.4776,0.0,0.0,0.1727,60.3034,1.0,0.3636,30880.9693
REAL-002,B,1.0,0.5479,0.0,0.0,0.1431,65.1248,1.0,0.5,17149.3711
REAL-003,B,1.0,0.2585,0.0,0.0,0.4475,53.1167,1.0,0.2222,15311.837
REAL-004,B,1.0,0.4397,0.0,0.0,0.1934,61.1277,1.0,0.0,13996.7489
REAL-005,B,1.0,0.4467,0.0,0.0,0.1822,61.4853,1.0,0.5714,17299.026
REAL-006,B,1.0,0.2674,0.0,0.0,0.2435,59.6298,1.0,0.0,13220.2632
REAL-007,B,1.0,0.3935,0.0,0.0,0.4028,57.3843,1.0,0.2222,14496.4509
REAL-008,B,1.0,0.3246,0.0,0.0,0.2385,61.9795,1.0,0.5,15487.7703
REAL-009,B,1.0,0.4188,0.0,0.0,0.1963,61.0094,1.0,0.5,14823.786
REAL-010,B,1.0,0.3892,0.0,0.0,0.2086,60.6659,1.0,0.2857,16231.3509
REAL-001,C,1.0,0.4776,0.0,0.0,0.1727,60.2965,1.0,0.3636,33510.2839
REAL-002,C,1.0,0.5479,0.0,0.0,0.1431,63.6532,1.0,0.5,46471.498
REAL-003,C,1.0,0.2585,0.0,0.0,0.4475,51.74,1.0,0.2222,33788.4138
REAL-004,C,1.0,0.4397,0.0,0.0,0.1934,59.6,1.0,0.0,17821.3608
REAL-005,C,1.0,0.4467,0.0,0.0,0.1822,59.8688,1.0,0.5714,61265.115
REAL-006,C,1.0,0.2674,0.0,0.0,0.2435,57.9917,1.0,0.0,38177.856
REAL-007,C,1.0,0.3935,0.0,0.0,0.4028,55.6174,1.0,0.2222,55913.4133
REAL-008,C,1.0,0.3246,0.0,0.0,0.2385,60.1935,1.0,0.5,23314.0678
REAL-009,C,1.0,0.4188,0.0,0.0,0.1963,59.3706,1.0,0.5,45030.0307
REAL-010,C,1.0,0.3892,0.0,0.0,0.2086,58.9965,1.0,0.2857,38197.1219
